iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
KGZ,2003,110.7895604,27778.22413
KHM,2003,56839.5435,28173570.72
KNA,2003,32.14738442,13136.71388
KOR,2003,3611.332973,973916.1415
LAO,2003,87074.13238,45529282.12
LBN,2003,83.57542339,19837.94683
LBR,2003,21604.81357,9849340.476
LBY,2003,25.26571737,5056.224175
LCA,2003,19.4266862,9439.878956
LKA,2003,3149.494821,1004647.653
LSO,2003,2.484692584,631.2819958
LTU,2003,8916.009263,2440586.114
LUX,2003,103.4199707,48768.77673
LVA,2003,21321.4159,5732175.175
MAF,2003,3.295436471,1123.46389
MAR,2003,2042.52646,556385.279
MDA,2003,100.5993463,26038.81279
MDG,2003,84247.95977,37571797.16
MDV,2003,2.142708274,29.78688272
MEX,2003,152559.2962,48464508.75
MKD,2003,895.2280943,290205.492
MLI,2003,34.24351147,10923.69816
MMR,2003,77224.46441,40603619.31
MNE,2003,203.6859679,61035.77438
MNG,2003,38433.831,5846423.846
MOZ,2003,79643.95853,26337459.26
MRT,2003,1.256266299,368.17946
MSR,2003,2.286058313,1010.790798
MTQ,2003,288.4695298,144296.1759
MUS,2003,119.6302621,52320.09363
MWI,2003,7112.996717,2610624.368
MYS,2003,183911.2165,106141735.5
MYT,2003,30.92584943,15050.66174
NAM,2003,208.6842167,50325.64599
NCL,2003,883.9158608,347520.1345
NER,2003,0.224596165,37.32102763
NGA,2003,13380.62881,4560105.228
NIC,2003,46963.69084,22298260.24
NLD,2003,309.8542634,114037.7435
NOR,2003,14817.39184,3052699.674
NPL,2003,2291.937476,1360515.036
NZL,2003,44798.28289,19746026.6
PAK,2003,641.697765,263850.0624
PAN,2003,11283.21097,5624368.944
PER,2003,73869.2433,46394302.54
PHL,2003,35154.20535,20007432.42
PLW,2003,17.62527665,11965.23088
PNG,2003,31805.61403,23209833.95
POL,2003,33292.99197,9956512.952
PRI,2003,1194.089454,540011.0268
PRK,2003,7348.877292,1979431.002
PRT,2003,26840.33637,5394021.204
PRY,2003,267309.0875,69084487.54
PSE,2003,1.438763533,277.3202468
REU,2003,142.6275971,61726.88017
ROU,2003,9427.598947,3738369.854
RUS,2003,3030068.958,383860413.7
RWA,2003,1060.927568,427449.2739
SDN,2003,18.66824164,3511.149716
SEN,2003,37.78890445,10420.16272
SGP,2003,18.84275868,6442.483131
SLB,2003,2374.830165,1755385.165
SLE,2003,9098.946831,3555831.827
SLV,2003,5983.700596,2188611.828
SMR,2003,0.055779092,14.49275894
SOM,2003,105.3720153,23405.08496
SRB,2003,864.9410101,350076.8926
SSD,2003,2063.178286,540526.7511
SUR,2003,4545.827243,2965386.608
SVK,2003,3750.001625,1568594.722
SVN,2003,528.3497426,212596.9576
SWE,2003,92619.4072,18410432.87
SWZ,2003,5760.353992,2967599.252
SXM,2003,2.12410459,458.0066516
SYR,2003,114.8063417,28390.27806
TCA,2003,10.37610118,1580.444339
TCD,2003,193.5413761,52815.61928
TGO,2003,2054.056559,613384.15
THA,2003,58447.9422,30495620.2
TJK,2003,31.86869306,8251.612541
TKM,2003,84.86276665,21126.86725
TLS,2003,690.7395443,404713.4985
TTO,2003,726.4368091,333616.0576
TUN,2003,1539.083728,427706.5528
TUR,2003,17743.88168,3971588.704
TWN,2003,1125.206168,551839.097
TZA,2003,84068.20903,26938790.94
UGA,2003,11980.09565,5169786.033
UKR,2003,38954.86705,11522236.03
URY,2003,10611.51037,3384704.666
USA,2003,1649193.295,557762049.5
UZB,2003,52.79889595,12546.57857
VCT,2003,9.668587918,4830.963252
VEN,2003,87228.87271,36263849.8
VGB,2003,1.82742184,623.8136162
VIR,2003,39.95442694,14526.01863
VNM,2003,43007.84845,22186719.67
VUT,2003,529.2629618,296146.8649
XCA,2003,8.85048139,405.9096538
XKO,2003,261.3241772,109012.1445
XNC,2003,2.458474056,556.1894268
ZAF,2003,92572.61492,44938973.66
ZMB,2003,41954.73061,16103605.8
ZWE,2003,7312.198341,2688778.792
AFG,2004,201.4449585,57016.70652
AGO,2004,71273.87691,21300795.55
AIA,2004,8.853995905,1585.401943
ALA,2004,735.849796,161178.8134
ALB,2004,3236.59554,1271378.738
AND,2004,22.58937449,8135.160994
ARG,2004,433429.6897,85422361.46
ARM,2004,83.20474395,24085.84158
ATG,2004,25.46325975,7941.231118
AUS,2004,124768.677,36705733.46
AUT,2004,14599.40477,6294528.124
AZE,2004,584.955793,145782.1002
BDI,2004,613.8788333,200813.975
BEL,2004,4793.340651,2298513.711
BEN,2004,683.6076116,191716.7497
BES,2004,0.297395552,93.22693801
BFA,2004,8.605090964,2135.358742
BGD,2004,4282.539726,2016734.979
BGR,2004,8170.466307,2642244.676
BHS,2004,588.0993715,131640.2118
BIH,2004,4121.820011,1609923.023
BLM,2004,0.146597992,32.65992894
BLR,2004,38596.68301,11552118.45
BLZ,2004,4312.259674,1778704.002
BMU,2004,0.652759236,188.8699303
BOL,2004,203251.4841,89997651.11
BRA,2004,3848770.79,1890753583
BRB,2004,8.319537711,2895.216782
BRN,2004,1197.136196,825055.1327
BTN,2004,1013.177804,599931.6928
BWA,2004,50.65776501,7439.223541
CAF,2004,14588.89728,7238589.277
CAN,2004,2706458.872,535477196.9
CHE,2004,3829.659122,1745339.329
CHL,2004,85728.78243,27707306.49
CHN,2004,501543.7961,181107290.4
CIV,2004,48021.60343,18404373.54
CMR,2004,23003.29793,12114987.26
COD,2004,400044.274,219560410.8
COG,2004,13832.85006,6765662.616
COL,2004,253840.0087,133094388.6
COM,2004,40.38383805,21226.4255
CPV,2004,0.59513159,0
CRI,2004,9767.049736,4388198.442
CUB,2004,21973.72747,6021972.047
CUW,2004,0.601840548,116.3086444
CYM,2004,47.10307624,12775.12758
CYP,2004,87.55564101,20137.9603
CZE,2004,13453.69086,5524815.168
DEU,2004,44939.9818,20120166.7
DMA,2004,79.35513134,46047.89818
DNK,2004,2413.812853,632517.0808
DOM,2004,19387.94135,7657325.119
DZA,2004,4374.159388,1174108.209
ECU,2004,37249.86389,20094467.66
EGY,2004,101.4492395,19722.1589
ESP,2004,67273.87562,19079987.06
EST,2004,18106.2207,4259901.229
ETH,2004,13396.26216,5790532.454
FIN,2004,146602.3462,28150197.97
FJI,2004,2079.813684,1098692.904
FRA,2004,76134.34456,30298159.31
GAB,2004,9981.655614,5777819.918
GBR,2004,24846.81263,8994104.448
GEO,2004,1967.062715,786473.9352
GGY,2004,0.100761849,24.80875438
GHA,2004,17625.24051,7479125.538
GIN,2004,17158.3261,5961364.874
GLP,2004,191.1700125,78077.7162
GMB,2004,63.0847225,14532.32332
GNB,2004,3539.10216,1170337.085
GNQ,2004,421.4307721,241490.7668
GRC,2004,6813.690617,1753707.09
GRD,2004,631.0175742,375133.1686
GTM,2004,56448.60918,23583550.89
GUF,2004,4805.025467,3591522.94
GUY,2004,4062.36701,2629395.694
HKG,2004,18.88890724,7219.79609
HND,2004,26455.07106,11546170.42
HRV,2004,6727.12796,2384824.425
HTI,2004,2382.72801,820488.1554
HUN,2004,12008.50913,4343497.734
IDN,2004,1289042.657,939900999.5
IMN,2004,8.57891682,2803.272862
IND,2004,74129.19983,35472834.89
IRL,2004,6865.772989,2931783.983
IRN,2004,276.0028258,65063.35289
IRQ,2004,4.421485863,1037.195803
ISR,2004,67.69178197,14108.24852
ITA,2004,17224.87734,4564186.253
JAM,2004,3901.152525,1848723.742
JEY,2004,1.164486755,380.3091691
JOR,2004,2.285148839,485.0642715
JPN,2004,37312.53504,14959353.75
KAZ,2004,5513.10185,1118413.479
KEN,2004,16988.3283,7545170.927
KGZ,2004,192.268986,51192.94656
KHM,2004,79250.90741,42008102.91
KNA,2004,25.0763394,10523.39104
KOR,2004,11406.23474,3151160.385
LAO,2004,64248.47656,34524063.07
LBN,2004,109.2798766,25844.34984
LBR,2004,6233.559719,2908259.637
LBY,2004,10.26316376,1987.07215
LCA,2004,40.20301619,19015.39368
LIE,2004,9.430858215,4724.741998
LKA,2004,5599.447793,1777769.215
LSO,2004,4.377548763,1105.592743
LTU,2004,13100.96703,3672510.688
LUX,2004,311.4913424,151531.0829
LVA,2004,30638.90654,8161010.609
MAF,2004,1.611069718,576.7993739
MAR,2004,1440.577721,374654.6877
MDA,2004,264.0361809,67248.40556
MDG,2004,81845.25203,39478439.08
MDV,2004,2.372010473,204.4817364
MEX,2004,169841.4503,55381397.01
MKD,2004,2200.45235,788135.1633
MLI,2004,153.3126343,45914.57346
